month,year,unemp_respondent,unemp_cpsr,unemp_psr,unemp_pcbs,supportHamas,supportFatah,supportOther,supportNone,armedattacks,armedattacks_civilians ,armedattacks_soldiers,armedattacks_settlers,govsup,source_unemployment,source_support,source_armed,source_govsup,question_unemployment,question_support,question_armed,question_govsup,size
January,1994,NA,NA,NA,NA,17.3,36.1,36.9,9.7,NA,NA,NA,NA,NA,,CPRS_1994_Jan_Poll#5,,,,"If elections were held today, you would vote for candidates affiliated
with:",,,618
February,1994,NA,NA,NA,NA,17.1,44,30.6,8.3,NA,NA,NA,NA,NA,,CPRS_1994_Feb_Poll#6,,,,"If elections were held today, you would vote for candidates affiliated
with:",,,689
March,1994,NA,NA,NA,NA,19.8,40.1,30.7,9.4,NA,NA,NA,NA,NA,,CPRS_1994_Mar_Poll#7,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,692
April,1994,NA,NA,NA,NA,16.7,38.7,29.6,15,NA,NA,NA,NA,NA,,CPRS_1994_Apr_Poll#8,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,695
May,1994,NA,NA,NA,NA,12.6,52.4,23.6,11.4,NA,NA,NA,NA,NA,,CPRS_1994_May_Poll#9,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,684
June,1994,NA,NA,NA,NA,14.5,45.2,23.1,17.1,NA,NA,NA,NA,NA,,CPRS_1994_June_Poll#10,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,667
July,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
August,1994,NA,NA,NA,NA,15.6,40.4,26.3,17.7,NA,NA,NA,NA,NA,,CPRS_1994_Aug_Poll#11,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,539
September,1994,NA,NA,NA,NA,12.1,40,37,10.9,NA,NA,NA,NA,32.1,,CPRS_1994_Sep_Poll#12,,CPRS_1994_Sep_Poll#12,,"If elections were held today, you would vote for candidates
affiliated with:",,"With regard to the performance of the Palestinian National Authority,
four months after its establishment
: I am satisfied with it ",501
October,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
November,1994,NA,NA,NA,NA,17,50.6,23.2,9.2,41.4,NA,NA,NA,NA,,CPRS_1994_Nov_Poll#13,,,,"If elections were held today, you would vote for candidates
affiliated with:","With regard to the carrying out of armed operations against Israeli
targets in the West Bank and Israel (outside the autonomous areas) by
Palestinian groups,
:  I support these operations ",,412
