month,year,unemp_respondent,unemp_cpsr,unemp_psr,unemp_pcbs,supportHamas,supportFatah,supportOther,supportNone,armedattacks,armedattacks_civilians ,armedattacks_soldiers,armedattacks_settlers,govsup,source_unemployment,source_support,source_armed,source_govsup,question_unemployment,question_support,question_armed,question_govsup,size
January,1994,NA,NA,NA,NA,13.1,34.2,40.7,12,NA,NA,NA,NA,NA,,CPRS_1994_Jan_Poll#5,,,,"If these elections were held today, you would vote for candidates affiliated with:",,,989
February,1994,NA,NA,NA,NA,12.2,40.3,37.4,10.1,NA,NA,NA,NA,NA,,CPRS_1994_Feb_Poll#6,,,,"If elections were held today, you would vote for candidates affiliated
with:",,,1304
March,1994,NA,NA,NA,NA,14.1,34.8,40.3,10.8,NA,NA,NA,NA,NA,,CPRS_1994_Mar_Poll#7,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,1286
April,1994,NA,NA,NA,NA,15.5,37.4,36,11.1,NA,NA,NA,NA,NA,,CPRS_1994_Apr_Poll#8,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,1311
May,1994,NA,NA,NA,NA,12.2,40.1,37.2,10.5,NA,NA,NA,NA,NA,,CPRS_1994_May_Poll#9,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,1290
June,1994,NA,NA,NA,NA,13.3,40,33.1,13.6,NA,NA,NA,NA,NA,,CPRS_1994_June_Poll#10,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,1307
July,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
August,1994,NA,NA,NA,NA,13,38.2,35.9,12.9,NA,NA,NA,NA,NA,,CPRS_1994_Aug_Poll#11,,,,"If elections were held today, you would vote for candidates
affiliated with:",,,1023
September,1994,NA,NA,NA,NA,8.7,44.6,32,14.7,NA,NA,NA,NA,30,,CPRS_1994_Sep_Poll#12,,CPRS_1994_Sep_Poll#12,,"If elections were held today, you would vote for candidates
affiliated with:",,"With regard to the performance of the Palestinian National Authority,
four months after its establishment
: I am satisfied with it ",750
October,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
November,1994,NA,NA,NA,NA,17.6,37,29,16.4,28.2,NA,NA,NA,NA,,CPRS_1994_Nov_Poll#13,,,,"If elections were held today, you would vote for candidates
affiliated with:","With regard to the carrying out of armed operations against Israeli
targets in the West Bank and Israel (outside the autonomous areas) by
Palestinian groups,
:  I support these operations ",,664
December,1994,NA,21.5,NA,NA,15.1,41.5,30.5,12.9,NA,NA,NA,NA,28.2,CPRS_1994_Dec_Poll#14,CPRS_1994_Dec_Poll#14,,CPRS_1994_Dec_Poll#14,Estimated by pollster,"If elections were held today, you would vote for candidates
affiliated with:",," What is your evaluation of the performance of the Palestinian National
Authority?
: Excellent +  Good
",666
January,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA
February,1995,NA,48,NA,NA,14,49,23.3,13.7,43.8,NA,NA,NA,NA,CPRS_1995_Feb_Poll#15,CPRS_1995_Feb_Poll#16,,,,"If elections were held today, you would vote for candidates
affiliated with:"," With regard to armed attacks against Israeli targets, I...
: Support them",,669
