month,year,N,unemp,trust_1,trust_2,trust_3,trust_4,trust_5,legis_1,legis_2,legis_3,legis_4
January,1994,1622,8.2,40.4,14.2,7.7,5.4,12.5,NA,NA,NA,NA
February,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,1994,1920,10.8,40.9,10.8,6.9,3.2,12.8,NA,NA,NA,NA
August,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,1995,1069,10.2,37.7,15.3,3.2,7.2,9.2,NA,NA,NA,NA
June,1995,1397,7.9,46.6,18.2,4.4,5.4,6.4,NA,NA,NA,NA
July,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,1995,489,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,1995,1318,7.8,41.3,10.7,3.6,2.4,20.9,NA,NA,NA,NA
November,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1995,1250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,1996,1199,NA,38.9,12.3,2.3,1.4,17.1,NA,NA,NA,NA
February,1996,1255,NA,39.2,11.5,2.7,3.3,20,NA,NA,NA,NA
