month,year,N,unemp,trust_1,trust_2,trust_3,trust_4,trust_5,legis_1,legis_2,legis_3,legis_4
January,1994,512,NA,47.1,18.4,6.6,6,12.5,NA,NA,NA,NA
February,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,1994,674,NA,38.5,13.5,8.8,4,12.4,NA,NA,NA,NA
August,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,1995,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,1995,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,1995,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,1995,346,7.8,40.5,15.6,2.9,4,15.9,NA,NA,NA,NA
November,1995,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1995,395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,1996,423,NA,43,15.6,3.8,2.8,11.3,NA,NA,NA,NA
February,1996,448,NA,43.7,12.7,3.1,3.3,14.6,NA,NA,NA,NA
March,1996,0,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,1996,444,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,1996,441,NA,41.7,6.6,2,1.8,28.6,NA,NA,NA,NA
September,1996,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,1996,446,NA,46.9,9.2,3.4,0.9,13.9,NA,NA,NA,NA
November,1996,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1996,395,NA,42.3,14.2,1.8,1.3,27,NA,NA,NA,NA
January,1997,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,1997,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,1997,460,NA,42.8,11.7,0.9,1.5,27.4,NA,NA,NA,NA
April,1997,435,NA,37.7,14.3,2.8,2.1,31.3,NA,NA,NA,NA
May,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,1997,447,NA,34.9,11.6,2.1,3.6,32.6,NA,NA,NA,NA
August,1997,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,1997,431,NA,45.7,19,2.1,3.2,17.2,NA,NA,NA,NA
December,1997,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,1998,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,1998,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,1998,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,1998,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,1998,433,NA,36.7,16.9,2.1,1.4,27.2,NA,NA,NA,NA
June,1998,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,1998,424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,1998,435,NA,41.6,14.3,3.7,2.3,25.5,NA,NA,NA,NA
September,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,1999,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,1999,440,NA,42.2,18.3,1.1,2.3,27.6,NA,NA,NA,NA
April,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,1999,437,NA,26.1,9.6,1.8,3.7,42.6,NA,NA,NA,NA
September,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,1999,439,NA,31.5,13.9,1.4,1.6,35.4,NA,NA,NA,NA
November,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1999,438,NA,35.7,13,1.7,6.2,33.4,NA,NA,NA,NA
January,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
