month,year,N,unemp,trust_1,trust_2,trust_3,trust_4,trust_5,legis_1,legis_2,legis_3,legis_4
January,1994,1110,NA,37.3,12.3,7.4,4.9,15.4,NA,NA,NA,NA
February,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,1994,1246,NA,42.2,9.2,5.9,2.8,13.3,NA,NA,NA,NA
August,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
November,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
March,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,1995,727,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,1995,892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,1995,489,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
September,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,1995,972,7.8,41.7,8.8,3.9,1.7,22.9,NA,NA,NA,NA
November,1995,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1995,855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
January,1996,776,NA,36.6,10.6,1.4,0.5,20.2,NA,NA,NA,NA
February,1996,807,NA,36.7,10.8,2.5,2,22.1,NA,NA,NA,NA
March,1996,263,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
April,1996,835,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
May,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
June,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
July,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
August,1996,737,NA,29.3,6.5,3.3,1.1,29.9,NA,NA,NA,NA
September,1996,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
October,1996,753,NA,38.2,9.8,3.4,0.7,25.8,NA,NA,NA,NA
November,1996,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
December,1996,757,NA,31.4,8.3,4,1.3,27.2,NA,NA,NA,NA
January,1997,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
February,1997,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
