Table: Discount factors and model fit

|   |delta   |0       |0.9     |0.925   |0.95    |0.975   |0.99    |0.999  |0.9999    |
|:--|:-------|:-------|:-------|:-------|:-------|:-------|:-------|:------|:---------|
|1  |beta_H  |        |-0.51   |-0.33   |-0.18   |-0.09   |-0.03   |-0.01  |-0.01     |
|2  |        |        |(0.21)  |(0.15)  |(0.1)   |(0.03)  |(0.01)  |(0)    |(0.01)    |
|3  |beta_F  |        |-0.03   |-0.02   |-0.01   |0.02    |0.01    |0      |0         |
|4  |        |        |(0.08)  |(0.05)  |(0.03)  |(0.01)  |(0)     |(0)    |(0)       |
|5  |kappa_H |-0.25   |-1.17   |-1.07   |-0.91   |-1.15   |-1.05   |-0.95  |-2.09     |
|6  |        |(0.12)  |(0.4)   |(0.39)  |(0.38)  |(0.27)  |(0.25)  |(0.23) |(0.33)    |
|7  |kappa_F |-2.54   |-2.28   |-2.28   |-2.26   |-2.76   |-2.55   |-2.46  |-3.27     |
|8  |        |(0.22)  |(0.7)   |(0.67)  |(0.63)  |(0.42)  |(0.34)  |(0.28) |(0.36)    |
|10 |LL      |-284.18 |-281.03 |-281.58 |-282.47 |-283.77 |-280.83 |-278.2 |-307.48^* |
Note: ^* Model failed to converge.
