Table: Estimates at different discretizations of tilde{s}

|               |         |         |         |         |         |         |         |         |         |
|:--------------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|:--------|
|2d             |0.025    |0.025    |0.025    |0.05     |0.05     |0.05     |0.075    |0.075    |0.075    |
|End percentile |0.0125   |0.025    |0.0375   |0.0125   |0.025    |0.0375   |0.0125   |0.025    |0.0375   |
|K              |909      |879      |863      |455      |440      |432      |303      |293      |288      |
|beta_H         |-0.01    |-0.01    |-0.01    |-0.01    |-0.01    |-0.01    |-0.01    |-0.01    |-0.01    |
|               |(0.004)  |(0.004)  |(0.004)  |(0.004)  |(0.004)  |(0.004)  |(0.004)  |(0.004)  |(0.004)  |
|beta_F         |0.0004   |0.0005   |0.001    |0.0004   |0.0005   |0.001    |0.0004   |0.0005   |0.001    |
|               |(0.0002) |(0.0003) |(0.0003) |(0.0002) |(0.0003) |(0.0003) |(0.0002) |(0.0003) |(0.0003) |
|kappa_H        |-0.97    |-0.95    |-0.93    |-0.97    |-0.95    |-0.93    |-0.97    |-0.94    |-0.93    |
|               |(0.23)   |(0.23)   |(0.23)   |(0.23)   |(0.23)   |(0.23)   |(0.23)   |(0.23)   |(0.23)   |
|kappa_F        |-2.42    |-2.46    |-2.48    |-2.42    |-2.46    |-2.48    |-2.42    |-2.46    |-2.48    |
|               |(0.27)   |(0.28)   |(0.29)   |(0.27)   |(0.28)   |(0.29)   |(0.27)   |(0.28)   |(0.29)   |
|LL             |-277.10  |-278.15  |-278.86  |-277.08  |-278.20  |-278.87  |-277.09  |-278.13  |-278.81  |
